employee_id,survey_date,eNPS,manager_effectiveness,growth,workload,intent_to_stay
1001,2024-05-01,80,3,1,3,2
1001,2024-11-01,1,3,2,2,4
1001,2025-05-01,91,3,4,4,2
1002,2024-05-01,-49,3,3,4,2
1002,2024-11-01,-31,4,4,3,1
1002,2025-05-01,-50,3,2,3,3
1003,2024-05-01,-29,2,3,2,3
1003,2024-11-01,10,2,3,2,2
1003,2025-05-01,4,1,1,3,3
1004,2024-05-01,-68,2,2,2,3
1004,2024-11-01,21,3,5,4,4
1004,2025-05-01,-21,3,2,1,3
1005,2024-05-01,2,5,2,1,3
1005,2024-11-01,-2,1,2,3,2
1005,2025-05-01,46,3,3,4,4
1006,2024-05-01,-12,5,1,3,3
1006,2024-11-01,10,4,2,1,1
1006,2025-05-01,12,3,3,2,3
1007,2024-05-01,45,3,1,2,4
1007,2024-11-01,8,3,2,4,2
1007,2025-05-01,58,3,3,5,3
1008,2024-05-01,-22,4,4,3,3
1008,2024-11-01,-41,4,2,5,3
1008,2025-05-01,-27,3,2,3,2
1009,2024-05-01,18,2,2,3,5
1009,2024-11-01,23,2,3,2,2
1009,2025-05-01,0,4,3,2,5
1010,2024-05-01,113,3,2,3,4
1010,2024-11-01,-8,3,3,3,3
1010,2025-05-01,-20,2,3,3,3
1011,2024-05-01,38,3,3,1,4
1011,2024-11-01,92,3,3,1,4
1011,2025-05-01,-34,3,4,1,3
1012,2024-11-01,-24,4,3,3,2
1012,2025-05-01,48,4,2,2,5
1013,2024-05-01,-7,3,4,3,1
1013,2024-11-01,29,2,3,1,3
1013,2025-05-01,27,3,2,2,3
1014,2024-05-01,-23,3,4,3,5
1014,2024-11-01,24,2,2,2,4
1014,2025-05-01,6,5,3,1,3
1015,2024-05-01,-38,2,1,2,3
1015,2024-11-01,-20,3,3,3,3
1015,2025-05-01,15,4,2,1,3
1016,2024-05-01,32,3,3,3,4
1016,2024-11-01,-26,3,2,3,2
1016,2025-05-01,-18,4,3,3,3
1017,2024-05-01,-18,4,2,2,4
1017,2024-11-01,1,1,4,2,4
1017,2025-05-01,6,5,2,3,2
1018,2024-05-01,39,3,3,3,2
1018,2024-11-01,61,3,2,3,4
1018,2025-05-01,7,2,2,3,4
1019,2024-05-01,-16,2,3,4,5
1019,2024-11-01,-15,3,2,2,3
1019,2025-05-01,19,4,4,1,3
1020,2024-05-01,33,3,5,4,4
1020,2024-11-01,24,2,2,3,3
1020,2025-05-01,77,2,5,3,3
1021,2024-05-01,6,2,4,1,4
1021,2024-11-01,-7,3,4,3,4
1021,2025-05-01,34,4,1,5,3
1022,2024-05-01,-93,4,3,3,3
1022,2024-11-01,4,4,3,3,3
1022,2025-05-01,77,3,2,4,2
1023,2024-05-01,56,2,3,2,3
1023,2024-11-01,-57,3,3,3,5
1023,2025-05-01,-22,2,4,4,4
1024,2024-05-01,-29,3,2,5,3
1024,2024-11-01,53,4,4,3,2
1024,2025-05-01,-33,4,3,3,4
1025,2024-05-01,33,3,3,2,2
1025,2024-11-01,43,2,3,2,4
1025,2025-05-01,-28,4,2,4,2
1026,2024-05-01,28,3,2,4,4
1026,2024-11-01,-16,4,3,3,3
1026,2025-05-01,6,4,2,3,4
1027,2024-05-01,32,2,2,2,4
1027,2024-11-01,-2,4,1,2,4
1027,2025-05-01,0,3,3,3,4
1028,2024-05-01,102,2,4,1,4
1028,2024-11-01,-75,1,3,3,2
1028,2025-05-01,-57,2,1,3,3
1029,2024-05-01,15,2,2,2,1
1029,2024-11-01,-55,5,3,3,4
1029,2025-05-01,139,4,3,2,3
1030,2024-05-01,12,3,3,3,3
1030,2024-11-01,-23,4,3,4,2
1030,2025-05-01,20,3,1,3,3
1031,2024-05-01,-30,2,4,3,3
1031,2024-11-01,110,4,2,3,4
1031,2025-05-01,-17,3,2,4,1
1032,2024-05-01,-26,5,2,2,1
1032,2024-11-01,-112,4,2,3,4
1032,2025-05-01,28,4,2,3,2
1033,2024-05-01,-41,1,3,2,1
1033,2024-11-01,0,3,4,2,2
1033,2025-05-01,36,5,4,3,2
1034,2024-05-01,29,3,1,2,2
1034,2024-11-01,-21,4,3,3,4
1034,2025-05-01,33,4,3,2,3
1035,2024-05-01,41,3,2,3,3
1035,2024-11-01,-21,4,3,4,3
1035,2025-05-01,-26,3,3,2,5
1036,2024-05-01,58,3,3,5,3
1036,2024-11-01,11,3,2,3,1
1036,2025-05-01,18,4,4,3,4
1037,2024-05-01,-4,4,4,2,4
1037,2024-11-01,25,3,2,3,3
1037,2025-05-01,-26,1,3,5,3
1038,2024-05-01,64,4,3,2,4
1038,2024-11-01,95,3,3,3,3
1038,2025-05-01,77,4,3,4,4
1039,2024-05-01,-50,3,3,3,3
1039,2024-11-01,-28,1,1,3,4
1039,2025-05-01,-116,3,3,3,4
1040,2024-05-01,-21,3,3,2,2
1040,2024-11-01,21,4,3,5,4
1040,2025-05-01,8,3,3,2,3
1041,2024-05-01,-38,3,4,2,2
1041,2024-11-01,58,4,3,1,2
1041,2025-05-01,-42,3,2,2,4
1042,2024-05-01,27,5,3,4,5
1042,2024-11-01,-30,4,3,2,5
1042,2025-05-01,99,4,2,3,4
1043,2024-05-01,14,1,2,4,3
1043,2024-11-01,11,2,3,4,4
1043,2025-05-01,48,3,3,2,3
1044,2024-05-01,19,4,5,3,2
1044,2024-11-01,46,4,3,3,4
1044,2025-05-01,22,1,2,4,3
1045,2024-05-01,-1,2,1,1,1
1045,2024-11-01,-33,3,3,2,2
1045,2025-05-01,-9,3,3,5,1
1046,2024-05-01,0,3,5,2,3
1046,2024-11-01,73,4,4,3,4
1046,2025-05-01,30,4,2,2,4
1047,2024-05-01,-16,3,2,4,2
1047,2024-11-01,-22,3,2,2,3
1047,2025-05-01,-22,3,4,2,3
1048,2024-05-01,1,1,4,4,1
1048,2024-11-01,-44,3,3,3,3
1048,2025-05-01,-51,3,2,3,3
1049,2024-05-01,-10,3,4,2,5
1049,2024-11-01,23,3,4,3,4
1049,2025-05-01,63,4,2,2,3
1050,2024-05-01,-60,4,2,2,4
1050,2024-11-01,-38,2,3,1,3
1050,2025-05-01,32,4,3,4,3
1051,2024-05-01,-105,3,2,3,4
1051,2024-11-01,144,2,3,4,4
1051,2025-05-01,12,3,4,4,4
1052,2024-05-01,-15,4,2,2,3
1052,2024-11-01,53,2,2,1,4
1052,2025-05-01,-20,4,4,3,4
1053,2024-05-01,23,5,3,3,3
1053,2024-11-01,-17,2,5,5,4
1053,2025-05-01,60,4,3,4,4
1054,2024-05-01,-27,4,3,2,4
1054,2024-11-01,11,3,2,4,4
1054,2025-05-01,-41,2,4,3,2
1055,2024-05-01,8,4,4,3,1
1055,2024-11-01,-46,2,2,4,4
1055,2025-05-01,39,3,3,1,2
1056,2024-05-01,-6,2,4,2,2
1056,2024-11-01,-35,2,3,1,4
1056,2025-05-01,-4,2,2,2,4
1057,2024-05-01,23,2,4,2,2
1057,2024-11-01,-5,4,3,2,3
1057,2025-05-01,-26,3,3,3,3
1058,2024-05-01,29,4,4,2,3
1058,2024-11-01,63,1,4,4,4
1058,2025-05-01,1,1,4,3,4
1059,2024-05-01,-14,3,3,2,5
1059,2024-11-01,-17,3,4,2,4
1059,2025-05-01,56,4,3,3,2
1060,2024-05-01,11,3,3,5,3
1060,2024-11-01,41,2,3,2,2
1060,2025-05-01,70,4,4,1,2
1061,2024-05-01,2,2,3,4,3
1061,2024-11-01,59,3,2,2,1
1061,2025-05-01,36,4,5,1,3
1062,2024-05-01,14,3,4,3,3
1062,2024-11-01,-4,2,4,2,5
1062,2025-05-01,-21,4,2,2,4
1063,2024-05-01,68,3,4,3,3
1063,2024-11-01,14,5,3,4,4
1063,2025-05-01,27,4,4,2,3
1064,2024-05-01,57,3,4,3,3
1064,2024-11-01,51,3,2,1,4
1064,2025-05-01,39,2,2,4,4
1065,2024-05-01,-86,3,2,4,2
1065,2024-11-01,64,4,2,4,3
1065,2025-05-01,-18,3,3,2,5
1066,2024-05-01,18,4,2,2,3
1066,2024-11-01,-18,2,3,5,2
1066,2025-05-01,68,3,3,2,3
1067,2024-05-01,-1,3,3,4,3
1067,2024-11-01,4,5,4,2,5
1067,2025-05-01,57,4,2,2,4
1068,2024-05-01,3,2,4,3,2
1068,2024-11-01,104,3,3,3,3
1068,2025-05-01,36,4,4,2,4
1069,2024-05-01,66,2,3,2,2
1069,2024-11-01,-28,4,4,2,3
1069,2025-05-01,-16,2,3,3,4
1070,2024-05-01,25,4,1,3,3
1070,2024-11-01,-11,2,3,2,3
1070,2025-05-01,29,4,1,1,4
1071,2024-05-01,-38,3,1,2,3
1071,2024-11-01,-3,4,3,3,4
1071,2025-05-01,77,2,4,2,3
1072,2024-05-01,3,2,4,4,3
1072,2024-11-01,-47,3,2,3,3
1072,2025-05-01,12,4,2,4,2
1073,2024-05-01,33,4,3,3,4
1073,2024-11-01,-26,2,3,4,3
1073,2025-05-01,118,3,1,2,2
1074,2024-05-01,-48,5,2,2,1
1074,2024-11-01,-58,4,3,3,5
1074,2025-05-01,-40,4,3,1,4
1075,2024-05-01,15,3,2,2,1
1075,2024-11-01,-50,5,2,3,3
1075,2025-05-01,40,2,4,3,4
1076,2024-05-01,-1,2,3,4,2
1076,2024-11-01,-74,2,3,4,2
1076,2025-05-01,-13,3,4,3,3
1077,2024-05-01,5,4,5,2,4
1077,2024-11-01,-52,4,3,2,2
1077,2025-05-01,-9,1,3,2,2
1078,2024-05-01,56,3,3,2,5
1078,2024-11-01,60,3,4,3,4
1078,2025-05-01,-74,3,1,1,3
1079,2024-05-01,-61,3,1,3,3
1079,2024-11-01,-87,3,5,4,3
1079,2025-05-01,26,3,2,1,4
1080,2024-05-01,45,3,2,3,4
1080,2024-11-01,-35,4,3,1,3
1080,2025-05-01,-2,1,3,3,3
1081,2024-05-01,99,3,3,3,2
1081,2024-11-01,-8,5,2,1,3
1081,2025-05-01,18,4,4,2,2
1082,2024-05-01,-13,2,4,4,4
1082,2024-11-01,28,4,2,3,4
1082,2025-05-01,52,3,1,3,4
1083,2024-05-01,73,4,3,2,4
1083,2024-11-01,-23,2,2,2,3
1083,2025-05-01,68,4,3,1,3
1084,2024-05-01,-69,4,4,4,3
1084,2024-11-01,17,2,2,3,3
1084,2025-05-01,54,5,4,2,3
1085,2024-05-01,26,4,3,2,3
1085,2024-11-01,96,4,3,2,3
1085,2025-05-01,37,4,2,2,4
1086,2024-05-01,-32,2,2,1,3
1086,2024-11-01,50,3,2,3,3
1086,2025-05-01,-24,3,3,3,1
1087,2024-05-01,48,2,2,5,3
1087,2024-11-01,32,2,1,3,2
1087,2025-05-01,32,3,2,3,4
1088,2024-05-01,18,5,3,2,2
1088,2024-11-01,11,5,3,2,3
1088,2025-05-01,103,5,3,4,2
1089,2024-05-01,-119,2,3,3,3
1089,2024-11-01,71,3,2,2,4
1089,2025-05-01,11,3,4,4,5
1090,2024-05-01,-77,4,3,4,3
1090,2024-11-01,-75,4,5,2,3
1090,2025-05-01,60,4,4,3,3
1091,2024-05-01,44,4,2,2,3
1091,2024-11-01,22,2,3,3,3
1091,2025-05-01,73,2,2,3,3
1092,2024-05-01,12,4,3,1,2
1092,2024-11-01,-20,4,3,3,2
1092,2025-05-01,22,3,1,2,3
1093,2024-05-01,29,1,3,1,3
1093,2024-11-01,-75,3,2,3,3
1093,2025-05-01,31,4,2,1,3
1094,2024-05-01,32,2,3,4,3
1094,2024-11-01,24,4,2,2,5
1094,2025-05-01,-1,2,2,3,2
1095,2024-05-01,0,4,3,2,2
1095,2024-11-01,20,3,4,1,3
1095,2025-05-01,10,2,2,3,3
1096,2024-05-01,84,3,2,2,2
1096,2024-11-01,-47,2,2,4,2
1096,2025-05-01,-15,4,4,4,1
1097,2024-05-01,45,3,4,3,3
1097,2024-11-01,-28,3,3,2,4
1097,2025-05-01,4,3,2,2,1
1098,2024-05-01,25,4,3,2,4
1098,2024-11-01,-122,2,4,3,3
1098,2025-05-01,6,1,2,3,3
1099,2024-05-01,4,1,3,1,3
1099,2024-11-01,-41,2,3,3,4
1099,2025-05-01,25,5,3,3,3
1100,2024-05-01,-39,1,2,3,3
1100,2024-11-01,1,3,2,2,3
1100,2025-05-01,-11,1,1,2,4
1101,2024-05-01,153,3,4,2,2
1101,2024-11-01,17,2,2,4,3
1101,2025-05-01,32,5,3,1,3
1102,2024-05-01,16,2,4,2,4
1102,2024-11-01,-3,1,3,2,1
1102,2025-05-01,-7,3,3,2,3
1103,2024-05-01,23,3,2,2,3
1103,2024-11-01,-4,4,2,1,4
1103,2025-05-01,-41,2,3,2,3
1104,2024-05-01,9,5,3,5,5
1104,2024-11-01,37,3,4,3,3
1104,2025-05-01,25,3,1,2,2
1105,2024-05-01,-42,4,4,2,4
1105,2024-11-01,4,3,2,3,2
1105,2025-05-01,106,4,2,3,3
1106,2024-05-01,105,3,3,3,5
1106,2024-11-01,-18,4,2,3,3
1106,2025-05-01,-44,3,5,3,2
1107,2024-05-01,22,4,5,4,2
1107,2024-11-01,69,3,3,4,2
1107,2025-05-01,-44,5,4,3,1
1108,2024-05-01,-84,3,3,4,3
1108,2024-11-01,-35,4,4,2,2
1108,2025-05-01,-102,5,3,4,3
1109,2024-05-01,12,1,3,3,3
1109,2024-11-01,0,3,4,4,1
1109,2025-05-01,13,3,3,3,4
1110,2024-05-01,5,4,3,2,2
1110,2024-11-01,-43,4,3,3,2
1110,2025-05-01,7,3,3,4,1
1111,2024-05-01,71,4,5,3,3
1111,2024-11-01,86,2,4,2,4
1111,2025-05-01,26,2,4,3,4
1112,2024-05-01,-69,3,1,4,4
1112,2024-11-01,21,4,2,1,5
1112,2025-05-01,-56,2,4,2,2
1113,2024-05-01,-74,3,2,3,4
1113,2024-11-01,40,4,4,4,4
1113,2025-05-01,-26,4,3,2,4
1114,2024-05-01,-10,2,2,2,5
1114,2024-11-01,34,3,4,3,5
1114,2025-05-01,5,2,3,2,3
1115,2024-05-01,30,4,2,3,4
1115,2024-11-01,-51,4,2,3,5
1115,2025-05-01,31,2,3,2,4
1116,2024-05-01,32,2,3,1,3
1116,2024-11-01,28,1,3,3,4
1116,2025-05-01,28,4,4,4,3
1117,2024-05-01,3,3,3,3,4
1117,2024-11-01,-8,4,3,3,3
1117,2025-05-01,-19,4,2,2,3
1118,2024-05-01,-12,4,2,2,3
1118,2024-11-01,32,5,3,4,3
1118,2025-05-01,75,3,2,2,2
