employee_id,period,rating,manager_id
1001,2023H2,5,1028
1001,2024H1,5,1028
1001,2024H2,4,1028
1001,2025H1,3,1028
1002,2023H2,3,1050
1002,2024H1,3,1050
1002,2024H2,3,1050
1002,2025H1,4,1050
1003,2023H2,1,1067
1003,2024H1,3,1067
1003,2024H2,3,1067
1003,2025H1,3,1067
1004,2023H2,3,1099
1004,2024H1,1,1099
1004,2024H2,4,1099
1004,2025H1,3,1099
1005,2023H2,3,1085
1005,2024H1,4,1085
1005,2024H2,3,1085
1005,2025H1,4,1085
1006,2023H2,3,1063
1006,2024H1,3,1063
1006,2024H2,4,1063
1006,2025H1,3,1063
1007,2023H2,3,1027
1007,2024H1,4,1027
1007,2024H2,5,1027
1007,2025H1,4,1027
1008,2023H2,3,1078
1008,2024H1,4,1078
1008,2024H2,4,1078
1008,2025H1,3,1078
1009,2023H2,4,1055
1009,2024H1,2,1055
1009,2024H2,3,1055
1009,2025H1,3,1055
1010,2023H2,3,1069
1010,2024H1,4,1069
1010,2024H2,4,1069
1010,2025H1,3,1069
1011,2023H2,3,1041
1011,2024H1,3,1041
1011,2024H2,4,1041
1011,2025H1,2,1041
1012,2024H1,5,1070
1012,2024H2,2,1070
1012,2025H1,3,1070
1013,2023H2,3,1011
1013,2024H1,4,1011
1013,2024H2,4,1011
1013,2025H1,3,1011
1014,2024H1,3,1107
1014,2024H2,3,1107
1014,2025H1,5,1107
1015,2023H2,2,1049
1015,2024H1,4,1049
1015,2024H2,3,1049
1015,2025H1,2,1049
1016,2023H2,5,1050
1016,2024H1,4,1050
1016,2024H2,3,1050
1016,2025H1,4,1050
1017,2023H2,4,1041
1017,2024H1,2,1041
1017,2024H2,4,1041
1017,2025H1,3,1041
1018,2023H2,3,1089
1018,2024H1,4,1089
1018,2024H2,4,1089
1018,2025H1,3,1089
1019,2023H2,2,1073
1019,2024H1,3,1073
1019,2024H2,3,1073
1019,2025H1,3,1073
1020,2023H2,3,1051
1020,2024H1,3,1051
1020,2024H2,4,1051
1020,2025H1,3,1051
1021,2023H2,3,1102
1021,2024H1,3,1102
1021,2024H2,3,1102
1021,2025H1,2,1102
1022,2023H2,3,1017
1022,2024H1,2,1017
1022,2024H2,2,1017
1022,2025H1,3,1017
1023,2023H2,4,1109
1023,2024H1,4,1109
1023,2024H2,4,1109
1023,2025H1,2,1109
1024,2023H2,4,1052
1024,2024H1,4,1052
1024,2024H2,3,1052
1024,2025H1,4,1052
1025,2023H2,3,1005
1025,2024H1,4,1005
1025,2024H2,3,1005
1025,2025H1,4,1005
1026,2024H1,4,1010
1026,2024H2,3,1010
1026,2025H1,4,1010
1027,2023H2,2,1104
1027,2024H1,3,1104
1027,2024H2,3,1104
1027,2025H1,2,1104
1028,2023H2,4,1084
1028,2024H1,4,1084
1028,2024H2,3,1084
1028,2025H1,3,1084
1029,2023H2,3,1017
1029,2024H1,2,1017
1029,2024H2,3,1017
1029,2025H1,4,1017
1030,2023H2,2,1020
1030,2024H1,4,1020
1030,2024H2,5,1020
1030,2025H1,4,1020
1031,2023H2,4,1015
1031,2024H1,3,1015
1031,2024H2,4,1015
1031,2025H1,4,1015
1032,2023H2,5,1036
1032,2024H1,3,1036
1032,2024H2,3,1036
1032,2025H1,3,1036
1033,2023H2,3,1084
1033,2024H1,3,1084
1033,2024H2,3,1084
1033,2025H1,4,1084
1034,2023H2,2,1079
1034,2024H1,3,1079
1034,2024H2,2,1079
1034,2025H1,2,1079
1035,2023H2,2,1088
1035,2024H1,3,1088
1035,2024H2,3,1088
1035,2025H1,3,1088
1036,2023H2,4,1054
1036,2024H1,3,1054
1036,2024H2,3,1054
1036,2025H1,2,1054
1037,2023H2,3,1072
1037,2024H1,4,1072
1037,2024H2,3,1072
1037,2025H1,3,1072
1038,2023H2,3,1053
1038,2024H1,3,1053
1038,2024H2,4,1053
1038,2025H1,3,1053
1039,2023H2,3,1075
1039,2024H1,5,1075
1039,2024H2,4,1075
1039,2025H1,4,1075
1040,2023H2,4,1081
1040,2024H1,5,1081
1040,2024H2,3,1081
1040,2025H1,2,1081
1041,2023H2,4,1099
1041,2024H1,3,1099
1041,2024H2,2,1099
1041,2025H1,3,1099
1042,2023H2,3,1061
1042,2024H1,3,1061
1042,2024H2,4,1061
1042,2025H1,4,1061
1043,2023H2,5,1018
1043,2024H1,5,1018
1043,2024H2,3,1018
1043,2025H1,3,1018
1044,2023H2,3,1070
1044,2024H1,4,1070
1044,2024H2,3,1070
1044,2025H1,4,1070
1045,2023H2,2,1053
1045,2024H1,2,1053
1045,2024H2,2,1053
1045,2025H1,3,1053
1046,2023H2,3,1059
1046,2024H1,2,1059
1046,2024H2,4,1059
1046,2025H1,3,1059
1047,2023H2,3,1002
1047,2024H1,3,1002
1047,2024H2,4,1002
1047,2025H1,3,1002
1048,2023H2,4,1046
1048,2024H1,4,1046
1048,2024H2,3,1046
1048,2025H1,3,1046
1049,2024H1,2,1110
1049,2024H2,3,1110
1049,2025H1,3,1110
1050,2023H2,2,1062
1050,2024H1,4,1062
1050,2024H2,3,1062
1050,2025H1,3,1062
1051,2024H1,3,1087
1051,2024H2,3,1087
1051,2025H1,4,1087
1052,2023H2,3,1049
1052,2024H1,3,1049
1052,2024H2,4,1049
1052,2025H1,2,1049
1053,2023H2,2,1084
1053,2024H1,4,1084
1053,2024H2,3,1084
1053,2025H1,3,1084
1054,2023H2,3,1037
1054,2024H1,3,1037
1054,2024H2,3,1037
1054,2025H1,4,1037
1055,2023H2,3,1069
1055,2024H1,4,1069
1055,2024H2,5,1069
1055,2025H1,4,1069
1056,2023H2,5,1077
1056,2024H1,4,1077
1056,2024H2,3,1077
1056,2025H1,2,1077
1057,2023H2,3,1026
1057,2024H1,3,1026
1057,2024H2,4,1026
1057,2025H1,4,1026
1058,2024H1,4,1072
1058,2024H2,3,1072
1058,2025H1,3,1072
1059,2023H2,3,1093
1059,2024H1,2,1093
1059,2024H2,2,1093
1059,2025H1,3,1093
1060,2023H2,3,1069
1060,2024H1,3,1069
1060,2024H2,3,1069
1060,2025H1,2,1069
1061,2023H2,4,1063
1061,2024H1,3,1063
1061,2024H2,3,1063
1061,2025H1,3,1063
1062,2023H2,2,1040
1062,2024H1,3,1040
1062,2024H2,3,1040
1062,2025H1,3,1040
1063,2023H2,3,1092
1063,2024H1,3,1092
1063,2024H2,3,1092
1063,2025H1,4,1092
1064,2023H2,3,1063
1064,2024H1,3,1063
1064,2024H2,3,1063
1064,2025H1,4,1063
1065,2023H2,4,1082
1065,2024H1,3,1082
1065,2024H2,3,1082
1065,2025H1,3,1082
1066,2023H2,4,1058
1066,2024H1,3,1058
1066,2024H2,2,1058
1066,2025H1,3,1058
1067,2023H2,4,1046
1067,2024H1,3,1046
1067,2024H2,3,1046
1067,2025H1,4,1046
1068,2023H2,4,1108
1068,2024H1,3,1108
1068,2024H2,4,1108
1068,2025H1,4,1108
1069,2024H1,4,1096
1069,2024H2,3,1096
1069,2025H1,3,1096
1070,2023H2,2,1068
1070,2024H1,4,1068
1070,2024H2,3,1068
1070,2025H1,3,1068
1071,2023H2,3,1076
1071,2024H1,3,1076
1071,2024H2,4,1076
1071,2025H1,3,1076
1072,2024H1,3,1077
1072,2024H2,3,1077
1072,2025H1,3,1077
1073,2023H2,3,1073
1073,2024H1,2,1073
1073,2024H2,2,1073
1073,2025H1,2,1073
1074,2024H1,3,1024
1074,2024H2,3,1024
1074,2025H1,3,1024
1075,2023H2,3,1098
1075,2024H1,5,1098
1075,2024H2,4,1098
1075,2025H1,3,1098
1076,2023H2,3,1037
1076,2024H1,5,1037
1076,2024H2,3,1037
1076,2025H1,4,1037
1077,2023H2,4,1109
1077,2024H1,1,1109
1077,2024H2,3,1109
1077,2025H1,3,1109
1078,2023H2,3,1068
1078,2024H1,2,1068
1078,2024H2,3,1068
1078,2025H1,3,1068
1079,2024H1,3,1050
1079,2024H2,4,1050
1079,2025H1,4,1050
1080,2023H2,4,1096
1080,2024H1,4,1096
1080,2024H2,4,1096
1080,2025H1,3,1096
1081,2023H2,4,1091
1081,2024H1,4,1091
1081,2024H2,3,1091
1081,2025H1,3,1091
1082,2023H2,2,1031
1082,2024H1,3,1031
1082,2024H2,3,1031
1082,2025H1,3,1031
1083,2023H2,3,1055
1083,2024H1,4,1055
1083,2024H2,3,1055
1083,2025H1,4,1055
1084,2023H2,4,1018
1084,2024H1,3,1018
1084,2024H2,4,1018
1084,2025H1,4,1018
1085,2023H2,4,1104
1085,2024H1,4,1104
1085,2024H2,4,1104
1085,2025H1,3,1104
1086,2023H2,4,1033
1086,2024H1,4,1033
1086,2024H2,2,1033
1086,2025H1,4,1033
1087,2023H2,2,1114
1087,2024H1,3,1114
1087,2024H2,3,1114
1087,2025H1,3,1114
1088,2024H1,4,1027
1088,2024H2,3,1027
1088,2025H1,4,1027
1089,2023H2,4,1060
1089,2024H1,4,1060
1089,2024H2,3,1060
1089,2025H1,3,1060
1090,2023H2,4,1067
1090,2024H1,3,1067
1090,2024H2,2,1067
1090,2025H1,3,1067
1091,2023H2,3,1052
1091,2024H1,3,1052
1091,2024H2,4,1052
1091,2025H1,4,1052
1092,2024H1,4,1105
1092,2024H2,3,1105
1092,2025H1,4,1105
1093,2023H2,3,1102
1093,2024H1,4,1102
1093,2024H2,4,1102
1093,2025H1,4,1102
1094,2023H2,2,1007
1094,2024H1,3,1007
1094,2024H2,3,1007
1094,2025H1,4,1007
1095,2023H2,2,1033
1095,2024H1,4,1033
1095,2024H2,3,1033
1095,2025H1,2,1033
1096,2023H2,3,1057
1096,2024H1,2,1057
1096,2024H2,4,1057
1096,2025H1,3,1057
1097,2023H2,3,1072
1097,2024H1,2,1072
1097,2024H2,3,1072
1097,2025H1,4,1072
1098,2023H2,3,1021
1098,2024H1,5,1021
1098,2024H2,4,1021
1098,2025H1,3,1021
1099,2023H2,3,1002
1099,2024H1,3,1002
1099,2024H2,4,1002
1099,2025H1,4,1002
1100,2023H2,5,1069
1100,2024H1,4,1069
1100,2024H2,3,1069
1100,2025H1,4,1069
1101,2024H1,3,1100
1101,2024H2,4,1100
1101,2025H1,4,1100
1102,2023H2,3,1001
1102,2024H1,4,1001
1102,2024H2,3,1001
1102,2025H1,3,1001
1103,2023H2,2,1030
1103,2024H1,4,1030
1103,2024H2,4,1030
1103,2025H1,4,1030
1104,2023H2,4,1039
1104,2024H1,3,1039
1104,2024H2,3,1039
1104,2025H1,3,1039
1105,2023H2,3,1031
1105,2024H1,3,1031
1105,2024H2,4,1031
1105,2025H1,3,1031
1106,2023H2,4,1097
1106,2024H1,2,1097
1106,2024H2,3,1097
1106,2025H1,4,1097
1107,2023H2,3,1117
1107,2024H1,3,1117
1107,2024H2,3,1117
1107,2025H1,2,1117
1108,2023H2,4,1005
1108,2024H1,3,1005
1108,2024H2,4,1005
1108,2025H1,3,1005
1109,2023H2,2,1095
1109,2024H1,4,1095
1109,2024H2,3,1095
1109,2025H1,3,1095
1110,2023H2,3,1111
1110,2024H1,2,1111
1110,2024H2,3,1111
1110,2025H1,3,1111
1111,2023H2,4,1118
1111,2024H1,5,1118
1111,2024H2,3,1118
1111,2025H1,4,1118
1112,2023H2,3,1001
1112,2024H1,2,1001
1112,2024H2,4,1001
1112,2025H1,3,1001
1113,2023H2,3,1097
1113,2024H1,4,1097
1113,2024H2,4,1097
1113,2025H1,4,1097
1114,2023H2,4,1071
1114,2024H1,3,1071
1114,2024H2,4,1071
1114,2025H1,3,1071
1115,2023H2,2,1088
1115,2024H1,3,1088
1115,2024H2,3,1088
1115,2025H1,4,1088
1116,2023H2,3,1040
1116,2024H1,2,1040
1116,2024H2,4,1040
1116,2025H1,4,1040
1117,2024H1,4,1110
1117,2024H2,4,1110
1117,2025H1,2,1110
1118,2023H2,4,1009
1118,2024H1,3,1009
1118,2024H2,4,1009
1118,2025H1,3,1009
